Pairs of publishing authors and their number of publications: 
PA Biedrzycki, MG Sandy 1
FJM Meiland, E Derksen 1
T Mullaney, T Nyholm 1
F Kamoun, M Al Blushi 1
J Yaaqoubi, A Bayor 1
B Kolko, O Salikhbaeva 1
W Gerard, G Borriello 1
R Anderson, A Hope 1
B Kolko, E Rose 1
M Ishimitsu, P Prasad 1
G Konnis, L Pecchia 1
W Brunette, M Hicks 2
S Iyengar, C Johnson 2
A Joshi, CE Hsu 2
J Zhang, CE Hsu 2
M Hicks, R Anderson 2
W Gerard, A Hope 2
J Machiavelli, CE Hsu 2
J Yaaqoubi, B Kolko 2
S Iyengar, R Vogler 2
B Kolko, M Kawooya 2
A Joshi, J Machiavelli 2
W Brunette, R Nathan 2
A Hope, B Kolko 2
A Joshi, S Iyengar 2
R Vogler, J Zhang 2
A Joshi, M de Araujo Novaes 2
R Anderson, R Nathan 2
A Hope, R Anderson 2
A Joshi, J Zhang 2
S Iyengar, J Zhang 2
J Machiavelli, C Johnson 2
I Hussein, M Mahmud 2
J Machiavelli, J Zhang 2
M de Araujo Novaes, J Machiavelli 2
B Kolko, A Hope 2
B Kolko, R Nathan 2
C Johnson, CE Hsu 2
R Vogler, C Johnson 2
C Johnson, J Zhang 2
J Machiavelli, R Vogler 2
W Gerard, M Kawooya 2
W Brunette, R Anderson 2
W Gerard, B Kolko 2
M Hicks, B Kolko 2
M Hicks, A Hope 2
C Putnam, E Rose 2
M de Araujo Novaes, R Vogler 2
S Iyengar, CE Hsu 2
A Joshi, C Johnson 2
M de Araujo Novaes, S Iyengar 2
A Joshi, R Vogler 2
R Vogler, CE Hsu 2
M de Araujo Novaes, C Johnson 2
M de Araujo Novaes, CE Hsu 2
W Gerard, R Nathan 2
A Hope, R Nathan 2
M de Araujo Novaes, J Zhang 2
E Rose, B Kolko 2
B Kolko, C Putnam 2
J Machiavelli, S Iyengar 2
W Brunette, M Kawooya 2
A Hope, M Kawooya 2
W Brunette, A Hope 3
W Brunette, B Kolko 3
R Walton, B Kolko 3
R Anderson, B Kolko 3
W Brunette, W Gerard 3
